Plant type,Species,Author,Journal,Year,Kingdom,Phylum,Angiosperm or Gymnosperm,Dicot or Monocot,Class,Order,Family,Accepted name,Growth form Raunkiaer,Growth form author
Herbaceous perennial,Agropyron cristatum,Hansen & Wilson,J Appl Ecol,2006,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Poales,Poaceae,Agropyron cristatum,Hemicryptophyte,Tiller
Herbaceous perennial,Agropyron repens,Mortimer,On Weed Demography (in Recent Advances in Weed Research),1983,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Poales,Poaceae,Elymus repens,Hemicryptophyte,Tiller
Tree,Ailanthus altissima,"Burns, Pardini, Schutzenhofer, Chung, Seidler & Knight",Unpublished ms (word),,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Sapindales,Simaroubaceae,,Mesophanerophyte,
Tree,Ailanthus altissima 2,"Bullock, White, Prudhomme, Tansey, Perea & Hooftman",J Ecol,2011,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Sapindales,Simaroubaceae,,Mesophanerophyte,
Algae,Alaria nana,Pfister & Wang,Ecol,2005,Chromalveolata,Heterokontophyta,.,.,Phaeophyceae,Laminariales,Alariaceae,,Hydrophyte,
Herbaceous perennial,Alliaria petiolata,"Davis, Landis, Nuzzo, Blossey, Gerber & Hinz",Ecol Appl,2006,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Brassicales,Brassicaceae,Alliaria petiolata,Hemicryptophyte,Rosette
Herbaceous perennial,Alliaria petiolata 2,Davis,Weed Sci,2006,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Brassicales,Brassicaceae,Alliaria petiolata,Hemicryptophyte,Rosette
Herbaceous perennial,Alliaria petiolata 3,"Burns, Pardini, Schutzenhofer, Chung, Seidler & Knight",Unpublished ms (word),,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Brassicales,Brassicaceae,Alliaria petiolata,Hemicryptophyte,Rosette
Herbaceous perennial,Alliaria petiolata 4,"Evans, Davis, Raghu, Ragavendran, Landis & Schemske",Ecol Appl,2012,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Brassicales,Brassicaceae,Alliaria petiolata,,
Herbaceous perennial,Allium monanthum,"Schoichi, Takenori, Shuichi & Akira","Differentiation Patterns in Higher Plants, AP",1987,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Liliales,Liliaceae,Allium monanthum,Geophyte,Bulb
Herbaceous perennial,Allium sativum,"Burns, Pardini, Schutzenhofer, Chung, Seidler & Knight",Unpublished ms (word),,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Liliales,Liliaceae,,Geophyte,
Herbaceous perennial,Allium tricoccum,Nault & Gagnon,J Ecol,1993,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Liliales,Liliaceae,Allium tuberosum,Geophyte,Bulb
Herbaceous perennial,Allium vineale,"Burns, Pardini, Schutzenhofer, Chung, Seidler & Knight",Unpublished ms (word),,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Liliales,Liliaceae,,Geophyte,
Tree,Alnus indicata subspp. rugosa,Huenneke & Marks,Ecol,1987,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Liliales,Liliaceae,,Mesophanerophyte,
Succulent,Aloe peglerae,Pfab & Scholes,Biol Cons,2004,Plantae,Magnoliophyta,Angiosperm,Monocot,Magnoliopsida,Asparagales,Aloaceae,Aloe peglerae,Chamaephyte,
Shrub,Ambrosia deltoidea,Goldberg & Turner,Ecol,1986,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Asterales,Asteraceae,Ambrosia deltoidea,Nanophanerophyte,Shrub
Shrub,Ambrosia dumosa,"Miriti, Wright & Howe",Ecol Monog,2001,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Asterales,Asteraceae,Ambrosia dumosa,Nanophanerophyte,monoecious perenial shrub
Herbaceous perennial,Anacamptis pyramidalis,"Mozek, Colling & Matthies",Conference talk,2010,Plantae,Magnoliophyta,Angiosperm,Monocot,Magnoliopsida,Asparagales,Orchidaceae,,Hemicryptophyte,
Herbaceous perennial,Anarrhinum fruticosum,"Iriondo, Albert, Gimenez, Lozano & Escudero",Book,2009,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Malpighiales,Scrophulariaceae,,Chamaephyte,
Bryophyte,Anastrophyllum hellerianum,During,Lind,2006,Plantae,Hepatophyta,.,.,Jungermanniopsida,Jungermanniales,Jungermanniaceae,,Epiphyte,
Annual,Andropogon brevifolius,"Canales, Trevisan, Silva & Caswell",Acta Oeco,1994,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Poales,Poaceae,Schizachyrium brevifolium,Therophyte,
Herbaceous perennial,Andropogon semiberbis,"Silva, Raventos & Caswell",J Ecol,1991,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Poales,Poaceae,Schizachyrium sanguineum sanguineum,Hemicryptophyte,Tillers
Annual,Androsace elongata,Dostal,J Veg Sci,2007,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Ericales,Primulaceae,Androsace elongata,Therophyte,Forb
Herbaceous perennial,Androsace pyrenaica,"Garcia, Guzman & Goñi",Biol Cons,2002,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Ericales,Primulaceae,,Hemicryptophyte,Rosette
Herbaceous perennial,Androsace vitaliana,"Iriondo, Albert, Gimenez, Lozano & Escudero",Book,2009,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Ericales,Primulaceae,,Chamaephyte,
Herbaceous perennial,Anemone patens,Williams & Crone,Ecol,2006,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Ranunculales,Ranunculaceae,,Geophyte,Rhizome
Tree,Annamocarya sinensis,"Chien, Zuidema & Nghia",Popul Ecol,2008,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Malvales,Thymelaceae,,Macrophanerophyte,
Herbaceous perennial,Anthoxanthum odoratum,Freville & Silvertown,Plant Ecol,2005,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Poales,Poaceae,Anthoxanthum odoratum,Hemicryptophyte,Tillers
Herbaceous perennial,Anthyllis alpicola,"Marcante, Winkler, Erschbamer",,2009,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Fabales,Fabaceae,,Hemicryptophyte,
Herbaceous perennial,Anthyllis vulneraria,"Bastrenta, Lebreton & Thompson",J Ecol,1995,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Fabales,Fabaceae,Anthyllis vulneraria,Hemicryptophyte,Rosette
Herbaceous perennial,Anthyllis vulneraria (2),Bastrenta et al.,J Ecol,1995,,,,,,,,,,
Herbaceous perennial,Antirrhinum lopesianum,"Iriondo, Albert, Gimenez, Lozano & Escudero",Book,2009,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Malpighiales,Scrophulariaceae,,Chamaephyte,
Herbaceous perennial,Antirrhinum subbaeticum,"Iriondo, Albert, Gimenez, Lozano & Escudero",Book,2009,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Malpighiales,Scrophulariaceae,,Chamaephyte,
Tree,Aquilaria crassna,"Zhang, Brockelman & Allen",Biol Cons,2008,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Malvales,Thymelaceae,,Macrophanerophyte,Monopodial
Tree,Aquilaria malaccensis,Soehartono & Newton,Biol Cons,2001,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Malvales,Thymelaceae,,Macrophanerophyte,Monopodial
Tree,Aquilaria microcarpa,Soehartono & Newton,Biol Cons,2001,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Malvales,Thymelaceae,,Macrophanerophyte,Monopodial
Herbaceous perennial,Aquilegia chaplinei,Stubben,PhD thesis,2007,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Ranunculales,Ranunculaceae,Aquilegia chrysantha chaplinei,Hemicryptophyte,Rosette
Herbaceous perennial,Aquilegia chrysantha,Stubben,PhD thesis,2007,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Ranunculales,Ranunculaceae,Aquilegia chrysantha,Hemicryptophyte,Rosette
Herbaceous perennial,Aquilegia longissima,Stubben,PhD thesis,2007,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Ranunculales,Ranunculaceae,Aquilegia longissima,Hemicryptophyte,Rosette
Herbaceous perennial,Aquilegia subspp.,Stubben & Milligan,J Stat Soft,2007,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Ranunculales,Ranunculaceae,,Hemicryptophyte,
Herbaceous perennial,Arabidopsis lyrata,"Vergeer, Jongejans",,,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Brassicales,Brassicaceae,,Hemicryptophyte,
Annual,Arabidopsis thaliana,Metcalf,Unpublished,2009,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Brassicales,Brassicaceae,Arabidopsis thaliana,Therophyte,
Herbaceous perennial,Arabis alpina,Florence,,,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Brassicales,Brassicaceae,Arabis alpina,Chamaephyte,
Herbaceous perennial,Arabis fecunda,Lesica & Young,Amer J Bot,1995,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Brassicales,Brassicaceae,Arabis fecunda,Hemicryptophyte,Rosette
Tree,Araucaria cunninghamii,Enright & Ogden,Aust J Ecol,1979,Plantae,Pinophyta,Gymnosperm,.,Pinopsida,Pinales,Araucariaceae,Araucaria cunninghamii,Macrophanerophyte,
Tree,Araucaria hunsteinii,Enright,Aust J Ecol,1982,Plantae,Pinophyta,Gymnosperm,.,Pinopsida,Pinales,Araucariaceae,Araucaria hunsteinii,Macrophanerophyte,
Tree,Araucaria laubenfelsii,"Rigg, Enright, Jaffre & Perry",Biotrop,2010,Plantae,Pinophyta,Gymnosperm,.,Pinopsida,Pinales,Araucariaceae,Araucaria hunsteinii,Macrophanerophyte,
Tree,Araucaria muelleri,Enright,Author working on paper,,Plantae,Pinophyta,Gymnosperm,.,Pinopsida,Pinales,Araucariaceae,,,
Herbaceous perennial,Arctophila fulva var. pendulina,"Rautiainen, Laine, Aikio, Aspi, Siira & Hyvärinen",Appl Veg Sci,2004,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Poales,Poaceae,,Geophyte,Clonal grass
Shrub,Ardisia elliptica,Koop & Horvitz,Ecol,2005,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Ericales,Myrsinaceae,Ardisia elliptica,Nanophanerophyte,shrub
Shrub,Ardisia escallonioides,Pascarella & Horvitz,Ecol,1998,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Ericales,Myrsinaceae,,Nanophanerophyte,understory shrub
Herbaceous perennial,Arenaria bolosii,"Iriondo, Albert, Gimenez, Lozano & Escudero",Book,2009,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Caryophyllales,Caryophyllaceae,,Chamaephyte,
Annual,Arenaria serpyllifolia,Dostal,J Veg Sci,2007,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Caryophyllales,Caryophyllaceae,Arenaria serpyllifolia,Therophyte,Forb
Shrub,Argyroxiphium sandwicense,Forsyth,Oeco,2002,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Asterales,Asteraceae,Argyroxiphium sandwicense,Nanophanerophyte,"Basal rosette, then produce stalk and die after settign seed."
Succulent,Ariocarpus scaphirostris,"Mandujano, Verhulst, Carrillo-Angeles & Golubov",Int J Plant Sci,2007,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Caryophyllales,Cactaceae,,Chamaephyte,
Herbaceous perennial,Arisaema serratum,Kinoshita,Pl Spp Biol,1987,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Alismatales,Araceae,Arisaema serratum,Geophyte,"Tubers, bulb"
Herbaceous perennial,Arisaema triphyllum,Bierzychudek,Ecol Monog,1982,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Alismatales,Araceae,Arisaema triphyllum,Helophyte,Corm
Herbaceous perennial,Aristida bipartita,O'Connor,J Appl Ecol,1993,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Poales,Poaceae,,Geophyte,"Tussock, rhizomes"
Herbaceous perennial,Armeria caespitosa,"Garcia-Camacho, Albert & Escudero",Ecography,In review,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Caryophyllales,Plumbaginaceae,Armeria maritima,Hemicryptophyte,
Herbaceous perennial,Armeria maritima,Lefebvre & Chandler-Mortimer,J Appl Ecol,1984,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Caryophyllales,Plumbaginaceae,Armeria maritima,Hemicryptophyte,Tufted herb
Herbaceous perennial,Armeria merinoi,"Iriondo, Albert, Gimenez, Lozano & Escudero",Book,2009,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Caryophyllales,Plumbaginaceae,Armeria maritima,Chamaephyte,
Herbaceous perennial,Arnica angustifolia,Jakalaniemi,Env & Exp Bot,2011,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Asterales,Asteraceae,,Hemicryptophyte,
Herbaceous perennial,Artemisia genipi,"Marcante, Winkler, Erschbamer",Annals Bot,2009,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Asterales,Asteraceae,,Hemicryptophyte,
Shrub,Artemisia ordosica,Li & Zuidema,J Ecol,2011,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Asterales,Asteraceae,,Nanophanerophyte,
Herbaceous perennial,Asarum canadense,Damman & Cain,J Ecol,1998,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Piperales,Aristolochiaceae,Asarum canadense,Geophyte,"Rhyzome, clones"
Herbaceous perennial,Asclepias meadii,"Bell, Bowles & McEachern",Book,2003,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Gentianales,Apocynaceae,,Geophyte,
Fern,Asclepium adulterinum,"Buchrova, Munzbergova & Tajek",Amer J Bot,2010,Plantae,Pteridophyta,.,.,Pteridopsida,Blechnales,Aspleniaceae,,Epiphyte,
Fern,Asclepium cuneifolium,"Buchrova, Munzbergova & Tajek",Amer J Bot,2010,Plantae,Pteridophyta,.,.,Pteridopsida,Blechnales,Aspleniaceae,,Epiphyte,
Algae,Ascophyllum nodosum,"Pavia, Toth & Aberg",Ecol,2002,Chromalveolata,Heterokontophyta,.,.,Phaeophyceae,Fucales,Fucaceae,Ascophyllum nodosum,Hydrophyte,
Epiphyte,Aspasia principissa,Zotz & Schmidt,Biol Cons,2006,Plantae,Magnoliophyta,Angiosperm,Monocot,Magnoliopsida,Asparagales,Orchidaceae,Aspasia principissa,Epiphyte,Bulb
Fern,Asplenium scolopendrium,Bremer & Jongejans,Popul Ecol,2010,Plantae,Pteridophyta,.,.,Pteridopsida,Blechnales,Aspleniaceae,Asplenium scolopendrium,Epiphyte,Fern
Herbaceous perennial,Aster amellus,Munzbergova,Ann Bot,2007,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Asterales,Asteraceae,,Hemicryptophyte,Ramet
Herbaceous perennial,Aster kantoensis,Shimada & Ishihama,Popul Ecol,2000,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Asterales,Asteraceae,,Hemicryptophyte,
Herbaceous perennial,Aster pyrenaeus,"Iriondo, Albert, Gimenez, Lozano & Escudero",Book,2009,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Asterales,Asteraceae,,Hemicryptophyte,
Herbaceous perennial,Astragalus alopecurus,"Florence, Nicole",,,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Fabales,Fabaceae,Astragalus alopecurus,Hemicryptophyte,
Herbaceous perennial,Astragalus cremnophylax var. cremnophylax,"Maschinski, Frye & Rutman",Cons Biol,1997,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Fabales,Fabaceae,,Hemicryptophyte,Rock-hugging
Herbaceous perennial,Astragalus michauxii,Wall,Plant Ecol,2012,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Fabales,Fabaceae,,Hemicryptophyte,
Herbaceous perennial,Astragalus peckii,"Martin, Meinke",Popul Ecol,2012,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Fabales,Fabaceae,,Hemicryptophyte,
Herbaceous perennial,Astragalus scaphoides,Lesica,Great Bas Nat,1995,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Fabales,Fabaceae,Astragalus scaphoides,Hemicryptophyte,Branched caudex
Herbaceous perennial,Astragalus termolsianus,"Iriondo, Albert, Gimenez, Lozano & Escudero",Book,2009,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Fabales,Fabaceae,,Hemicryptophyte,
Herbaceous perennial,Astragalus tyghensis,Kaye & Pyke,Ecol,2003,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Fabales,Fabaceae,Astragalus tyghensis,Hemicryptophyte,
Palm,Astrocaryum aculeatissimum,"Portela, Bruna & Santos",Biodiv & Cons,2010,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Arecales,Arecaceae,Astrocaryum mexicanum,,
Palm,Astrocaryum mexicanum,"Pinero, Martinez & Sarukhan",Ecol,1984,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Arecales,Arecaceae,Astrocaryum mexicanum,Mesophanerophyte,Monopodial
Shrub,Atriplex acanthocarpa,"Verhulst, Montana, Mandujano & Franco",Oeco,2008,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Caryophyllales,Chenopodiaceae,Atriplex acanthocarpa,Nanophanerophyte,erect suffrutescent plant
Shrub,Atriplex canescens,"Verhulst, Montana, Mandujano & Franco",Oeco,2008,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Caryophyllales,Chenopodiaceae,Atriplex canescens,Nanophanerophyte,Shrub
Shrub,Atriplex vesicaria,Hunt,J Appl Ecol,2001,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Caryophyllales,Chenopodiaceae,Atriplex vesicaria,Nanophanerophyte,low woody shrub
Palm,Attalea humilis,Souza & Martins,Biodiv & Cons,2004,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Arecales,Arecaceae,,Mesophanerophyte,
Herbaceous perennial,Austrostipa aristiglumis,"Godfree, Lepschi, Rside, Bolger, Robertson, Marshall & Carnegie",Global Change Biol,2011,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Poales,Poaceae,,,
Tree,Avicennia germinans,"Lopez-Hoffman, Ackerly, Anten, Denoyer &Ramos",J Ecol,2007,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Lamiales,Avicenniaceae,Avicennia germinans,Mesophanerophyte,
Tree,Avicennia marina,Burns & Ogden,Aust J Ecol,1985,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Lamiales,Avicenniaceae,Avicennia marina,Mesophanerophyte,
Herbaceous perennial,Balsamorhiza sagittata,"Crone, Marler, & Pearson",Appl Ecol,2009,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Asterales,Asteraceae,Balsamorhiza sagittata,Hemicryptophyte,
Shrub,Banksia ericifolia,Bradstock & O'Connell,Aust J Ecol,1988,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Proteales,Proteaceae,,Nanophanerophyte,Monopodial
Shrub,Banksia goodii,"Higgins, Pickett & Bond",TREE,2000,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Proteales,Proteaceae,,Nanophanerophyte,
Tree,Bertholletia excelsa,Zuidema & Boot,J Trop Ecol,2002,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Ericales,Lecythidaceae,Bertholletia excelsa,Macrophanerophyte,Monopodial
Shrub,Betula nana,Ebert & Ebert,Vegetatio,1989,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Fagales,Betulaceae,Betula nana,Nanophanerophyte,"shrub, can't distinguish individuals because they grow close together"
Tree,Betula pendula,Maillette,J Appl Ecol,1982,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Fagales,Betulaceae,Betula nana,,
